METHOD,TIME
Shading mask XOSHIRO RNG,9.76904
Shading mask MIX RNG,9.86212
Shading mask EIGEN RNG,9.52979
Shading mask EIGEN CAST RNG,9.61074
Shading mask EIGEN VECTORIZED RNG,9.74152
Shading mask STD RNG,9.39765
Shading mask PCG RNG,9.22965
Shading mask XOSHIRO RNG,9.32149
Shading mask MIX RNG,9.29627
Shading mask EIGEN RNG,9.27478
Shading mask EIGEN CAST RNG,9.30267
Shading mask EIGEN VECTORIZED RNG,9.34438
Shading mask STD RNG,9.47368
Shading mask PCG RNG,9.58645
Shading mask XOSHIRO RNG,9.14423
Shading mask MIX RNG,9.45135
Shading mask EIGEN RNG,9.48699
Shading mask EIGEN CAST RNG,9.37292
Shading mask EIGEN VECTORIZED RNG,9.45031
Shading mask STD RNG,9.64423
Shading mask PCG RNG,9.48182
Shading mask XOSHIRO RNG,9.47635
Shading mask MIX RNG,9.64056
Shading mask EIGEN RNG,9.54065
Shading mask EIGEN CAST RNG,9.50703
Shading mask EIGEN VECTORIZED RNG,9.41321
Shading mask STD RNG,9.37251
Shading mask PCG RNG,9.45234
Shading mask XOSHIRO RNG,9.61937
Shading mask MIX RNG,9.61671
Shading mask EIGEN RNG,9.26224
Shading mask EIGEN CAST RNG,9.19532
Shading mask EIGEN VECTORIZED RNG,9.37626
Shading mask STD RNG,9.31075
Shading mask PCG RNG,9.11825
Shading mask XOSHIRO RNG,9.28688
Shading mask MIX RNG,9.39147
Shading mask EIGEN RNG,9.3675
Shading mask EIGEN CAST RNG,9.46694
Shading mask EIGEN VECTORIZED RNG,9.24302
Shading mask STD RNG,9.33856
Shading mask PCG RNG,9.25163
Shading mask XOSHIRO RNG,9.09302
Shading mask MIX RNG,9.40359
Shading mask EIGEN RNG,9.25572
Shading mask EIGEN CAST RNG,9.17999
Shading mask EIGEN VECTORIZED RNG,9.13258
Shading mask STD RNG,9.3387
Shading mask PCG RNG,9.51773
Shading mask XOSHIRO RNG,9.287
Shading mask MIX RNG,9.57989
Shading mask EIGEN RNG,9.46159
Shading mask EIGEN CAST RNG,9.517
Shading mask EIGEN VECTORIZED RNG,9.5071
Shading mask STD RNG,9.24544
Shading mask PCG RNG,9.29202
Shading mask XOSHIRO RNG,9.32508
Shading mask MIX RNG,9.53478
Shading mask EIGEN RNG,9.54149
Shading mask EIGEN CAST RNG,9.26643
Shading mask EIGEN VECTORIZED RNG,9.22473
Shading mask STD RNG,9.3569
Shading mask PCG RNG,9.39506
Shading mask XOSHIRO RNG,9.50367
Shading mask MIX RNG,9.03527
Shading mask EIGEN RNG,9.17707
Shading mask EIGEN CAST RNG,9.16246
Shading mask EIGEN VECTORIZED RNG,9.334
Shading mask STD RNG,9.4553
Shading mask PCG RNG,9.20317
Shading mask XOSHIRO RNG,9.36274
Shading mask MIX RNG,9.46879
Shading mask EIGEN RNG,9.09278
Shading mask EIGEN CAST RNG,9.17754
Shading mask EIGEN VECTORIZED RNG,9.16599
Shading mask STD RNG,9.50436
Shading mask PCG RNG,9.30004
Shading mask XOSHIRO RNG,9.46541
Shading mask MIX RNG,9.46096
Shading mask EIGEN RNG,9.34797
Shading mask EIGEN CAST RNG,9.28516
Shading mask EIGEN VECTORIZED RNG,9.32156
Shading mask STD RNG,9.0223
Shading mask PCG RNG,9.33136
Shading mask XOSHIRO RNG,9.31482
Shading mask MIX RNG,9.5821
Shading mask EIGEN RNG,9.56818
Shading mask EIGEN CAST RNG,9.32012
Shading mask EIGEN VECTORIZED RNG,9.34307
Shading mask STD RNG,9.1597
Shading mask PCG RNG,9.32271
Shading mask XOSHIRO RNG,9.41296
Shading mask MIX RNG,9.4197
Shading mask EIGEN RNG,9.24157
Shading mask EIGEN CAST RNG,9.32581
Shading mask EIGEN VECTORIZED RNG,9.07925
Shading mask STD RNG,9.14515
Shading mask PCG RNG,9.22133
Shading mask XOSHIRO RNG,9.30102
Shading mask MIX RNG,9.27821
